"REG_INST","REG_RESP","PGMCIPAP","PGM_P034","PGM_P100","PGM_280A","PGM_280B","PGM_280C","PGM_280D","PGM_280E","PGM_280F","PGM_290","PGM_350","PGM_380","PGM_P401","PGM_410","PGM_415","PGM_430","EDU_010","HLOSINTP","STL_010","STULOANS","STL_160B","STL_160C","STL_160D","STL_160E","STL_160F","STL_160G","STL_160H","STL_160I","STL_160J","STL_160L","STLP160N","BEF_P140","BEF_160","HLOSGRDP","PAR1GRD","PAR1INT","PAR2GRD","PAR2INT","GRADAGEP","GENDER2","MS_P01","MS_P02","CTZSHIPP","VISBMINP","DDIS_FL","LFCINDP","PUMFID","LFSTATP","WTPF"
"4","4","8","1","1","2","2","2","2","2","1","1","1","2","2","5","5","1","2","2","2","2","2","2","2","2","1","2","1","2","2","2","2","3","6","2","1","1","1","1","1","1","1","2","2","1","2","6","59371","1",19.0091
"4","4","4","1","2","2","2","2","2","2","1","2","1","1","1","9","3","1","1","2","2","2","2","2","2","2","1","2","2","2","2","2","2","1","5","2","1","1","1","1","4","2","1","1","1","2","2","5","59375","1",11.6657
"4","4","5","1","2","2","2","2","2","2","1","1","1","2","2","3","3","1","2","2","2","2","2","1","2","1","2","2","2","2","2","2","2","3","6","2","3","3","1","1","1","2","2","2","2","1","2","3","59376","1",10.6413
"4","4","5","1","1","2","2","1","2","2","2","1","1","2","1","3","3","1","2","2","1","1","1","1","1","1","1","2","1","2","2","2","2","3","6","2","1","1","1","1","1","2","1","2","1","2","1","6","59377","1",10.9684
"2","2","9","1","2","2","2","2","2","2","1","1","2","2","2","2","3","2","2","2","1","1","2","2","2","2","2","2","2","1","2","2","2","3","6","2","1","1","1","1","2","2","1","2","1","2","1","7","59400","1",60.0366
"4","4","8","1","1","2","2","2","2","2","1","1","2","2","1","1","2","1","2","2","2","2","1","2","2","1","1","2","1","2","2","2","2","3","3","2","3","3","2","2","1","1","2","2","1","2","2","4","59401","1",12.2194
"4","4","4","1","2","2","2","2","2","2","1","1","1","2","1","2","2","1","2","2","1","1","2","1","2","1","1","1","2","1","2","2","2","1","6","2","1","1","1","1","2","2","2","2","1","2","1","4","59417","1",10.268
"1","1","2","2","2","2","2","2","2","2","1","1","1","1","2","3","3","1","1","2","1","1","2","2","2","1","1","2","2","1","2","2","2","1","6","2","3","3","1","1","2","2","1","2","1","2","1","5","59424","1",11.3268
"3","3","5","1","1","2","2","2","2","2","1","1","2","2","2","8","2","2","1","3","1","1","2","1","2","1","2","2","2","2","2","2","2","3","1","2","1","1","2","1","1","2","2","2","2","1","2","4","59425","1",20.0527
"4","4","2","1","2","2","2","2","2","2","1","1","2","2","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","2","2","2","3","1","2","1","1","1","1","1","1","2","2","1","2","2","1","59426","1",21.1714
"2","2","5","1","1","1","2","2","2","2","2","2","2","2","1","2","3","1","2","2","1","1","2","2","2","2","2","2","2","1","2","2","2","3","4","2","1","1","1","1","1","1","2","2","1","2","1","2","59430","1",58.2681
"3","3","7","2","2","2","2","2","2","2","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","1","6","3","2","2","1","1","4","2","1","1","2","2","2","2","59434","1",46.8932
"1","1","5","1","2","2","2","2","2","2","1","2","2","2","1","1","3","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","3","2","2","3","3","3","3","1","1","2","2","1","2","2","4","59436","1",10.161
"4","3","8","1","2","2","2","2","2","2","1","2","2","2","2","5","3","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","1","2","2","2","2","2","2","1","2","2","3","1","2","4","59437","1",10.1923
"2","2","5","2","2","2","2","2","2","2","1","1","2","2","3","2","1","2","2","2","1","1","2","2","2","2","1","2","2","1","2","2","2","1","4","2","1","1","1","1","2","2","1","2","1","2","1","4","59439","1",55.5059
"4","4","5","2","2","2","2","2","2","2","1","1","2","2","3","5","3","1","2","2","1","1","2","2","2","2","1","2","1","2","2","2","2","1","6","3","2","2","2","2","4","1","1","1","1","2","1","1","59440","1",11.0842
"2","2","5","1","2","2","2","2","2","2","1","1","2","2","2","1","2","1","1","2","2","2","2","2","2","2","1","2","1","2","2","2","2","1","6","2","1","1","3","2","1","2","2","2","1","1","2","6","59441","1",55.5059
"1","1","10","2","1","2","2","2","2","2","1","1","1","1","1","4","3","1","2","2","1","1","1","1","1","1","1","2","1","1","2","2","2","1","5","2","2","2","2","2","1","2","1","1","1","2","1","3","59443","1",11.092
"2","2","8","1","2","2","2","2","2","2","1","1","1","2","1","1","1","1","1","3","2","2","2","2","2","2","2","2","2","1","2","2","2","1","6","2","1","1","1","1","4","2","1","1","1","1","1","1","59444","1",40.5163
"4","4","5","2","1","2","2","2","2","2","1","1","2","2","3","5","5","1","1","2","1","1","2","1","1","1","1","2","1","1","1","2","1","1","6","2","3","3","1","1","3","2","2","2","1","2","2","7","59445","1",19.3546
"2","2","5","2","2","2","2","2","2","2","1","1","2","2","3","1","2","1","1","2","2","2","2","2","2","2","1","2","2","2","2","2","2","1","6","2","3","3","1","1","3","2","1","1","2","1","2","2","59451","1",49.7743
"4","4","4","2","2","2","2","2","2","2","1","1","1","1","1","3","3","1","1","2","1","1","2","1","2","2","1","2","1","2","2","2","2","1","3","2","2","2","1","1","1","1","2","2","1","2","2","96","59453","3",12.6119
"4","4","5","1","2","2","2","2","2","2","1","1","2","2","2","3","5","1","2","2","2","2","1","2","1","1","1","2","2","2","2","2","1","1","3","2","1","1","1","1","1","2","1","1","1","2","1","96","59456","3",35.8878
"4","4","6","1","2","2","2","2","2","2","1","1","1","2","2","1","3","1","1","2","1","1","1","1","2","1","1","1","1","2","2","1","2","1","2","2","1","1","1","1","1","1","2","2","1","2","2","96","59470","3",25.6282
"3","3","5","1","2","2","2","2","2","2","1","1","2","2","1","4","3","2","2","2","2","2","2","2","2","2","1","2","1","2","2","2","2","3","1","2","1","1","1","1","1","1","2","2","3","1","2","4","59471","1",373.5059
"4","4","5","1","1","2","2","2","2","2","1","1","2","2","1","3","3","2","2","2","1","1","2","2","2","2","2","2","2","2","2","1","2","1","6","2","1","1","1","1","1","2","2","1","1","2","2","7","59473","1",11.7284
"1","1","4","1","2","2","2","2","2","2","1","1","2","2","2","2","3","2","2","2","2","2","2","2","2","2","1","2","1","1","2","2","2","3","5","2","1","1","1","1","1","1","1","2","1","2","1","3","59493","1",11.0999
"1","4","9","1","2","2","2","2","2","2","1","1","1","1","2","3","3","1","1","3","2","2","1","2","2","1","1","2","1","2","1","2","2","3","2","2","3","2","3","2","1","2","2","2","1","2","2","7","59495","1",10.7165
